,sno,AFRDifference[AFR],BatteryVoltage[BatteryVoltage],EngineRunningTime[Time_s],IgnitionTiming[Angle],AirTemp[Temperature],CoolantTemp[Temperature],MAPSource[Pressure],LambdaSensor1[AFR],BaseFuel[Percentage],BaseIgnition[AngleIgnSprt2K],IgnitionCoolantTempCorrection[AngleOffset10deg],IgnitionAirTempCorrection[Angle],RPM[EngineSpeed]
11889,11890,9.0,13043.0,1131.0,192.0,3233.0,3444.0,334.0,991.0,335.0,320.0,138.0,34.0,1192.0
11890,11891,11.0,13059.0,1131.0,192.0,3233.0,3444.0,334.0,989.0,338.0,320.0,138.0,34.0,1239.0
11891,11892,9.0,13028.0,1131.0,192.0,3233.0,3444.0,336.0,991.0,337.0,320.0,138.0,34.0,1229.0
11892,11893,15.0,13028.0,1131.0,192.0,3233.0,3444.0,336.0,985.0,338.0,320.0,138.0,34.0,1222.0
11893,11894,15.0,13043.0,1131.0,192.0,3233.0,3444.0,333.0,985.0,336.0,320.0,138.0,34.0,1225.0
11894,11895,23.0,13075.0,1131.0,192.0,3233.0,3444.0,334.0,977.0,336.0,320.0,138.0,34.0,1201.0
11895,11896,24.0,13059.0,1131.0,192.0,3233.0,3446.0,335.0,976.0,336.0,320.0,138.0,34.0,1205.0
11896,11897,13.0,13043.0,1132.0,192.0,3233.0,3446.0,336.0,987.0,337.0,320.0,138.0,34.0,1210.0
11897,11898,13.0,13012.0,1132.0,192.0,3233.0,3446.0,336.0,987.0,336.0,320.0,138.0,34.0,1207.0
11898,11899,11.0,13043.0,1132.0,191.0,3233.0,3446.0,339.0,989.0,338.0,320.0,137.0,34.0,1202.0
11899,11900,11.0,13059.0,1132.0,191.0,3233.0,3446.0,340.0,989.0,339.0,320.0,137.0,34.0,1223.0
11900,11901,9.0,12997.0,1132.0,191.0,3233.0,3446.0,339.0,991.0,339.0,320.0,137.0,34.0,1222.0
11901,11902,10.0,13028.0,1132.0,191.0,3233.0,3446.0,336.0,990.0,338.0,320.0,137.0,34.0,1228.0
11902,11903,19.0,13043.0,1132.0,191.0,3233.0,3446.0,333.0,981.0,337.0,320.0,137.0,34.0,1243.0
11903,11904,24.0,13059.0,1132.0,191.0,3233.0,3446.0,331.0,976.0,337.0,320.0,137.0,34.0,1260.0
11904,11905,6.0,13028.0,1132.0,191.0,3233.0,3446.0,330.0,994.0,336.0,320.0,137.0,34.0,1243.0
11905,11906,-3.0,13028.0,1132.0,191.0,3233.0,3446.0,329.0,1003.0,335.0,320.0,137.0,34.0,1251.0
11906,11907,-2.0,13059.0,1132.0,191.0,3233.0,3446.0,329.0,1002.0,334.0,320.0,137.0,34.0,1239.0
11907,11908,10.0,13075.0,1132.0,191.0,3233.0,3447.0,330.0,990.0,335.0,320.0,137.0,34.0,1237.0
11908,11909,7.0,13075.0,1133.0,191.0,3233.0,3446.0,330.0,993.0,334.0,320.0,137.0,34.0,1228.0
11909,11910,13.0,13012.0,1133.0,190.0,3233.0,3446.0,331.0,987.0,336.0,320.0,137.0,33.0,1227.0
11910,11911,16.0,13059.0,1133.0,191.0,3233.0,3447.0,330.0,984.0,336.0,320.0,137.0,34.0,1240.0
11911,11912,17.0,13075.0,1133.0,191.0,3234.0,3447.0,331.0,983.0,336.0,320.0,137.0,34.0,1229.0
11912,11913,15.0,13012.0,1133.0,191.0,3233.0,3447.0,333.0,985.0,336.0,320.0,137.0,34.0,1227.0
11913,11914,15.0,13059.0,1133.0,190.0,3233.0,3447.0,332.0,985.0,337.0,320.0,137.0,33.0,1244.0
11914,11915,15.0,13059.0,1133.0,191.0,3234.0,3447.0,330.0,985.0,336.0,320.0,137.0,34.0,1236.0
11915,11916,20.0,13090.0,1133.0,190.0,3234.0,3447.0,330.0,980.0,336.0,320.0,137.0,33.0,1240.0
11916,11917,20.0,13059.0,1133.0,190.0,3233.0,3447.0,329.0,980.0,336.0,320.0,137.0,33.0,1253.0
11917,11918,20.0,13059.0,1133.0,190.0,3234.0,3447.0,329.0,976.0,335.0,320.0,137.0,33.0,1236.0
11918,11919,24.0,13059.0,1133.0,190.0,3234.0,3447.0,329.0,976.0,335.0,320.0,137.0,33.0,1236.0
11919,11920,15.0,13059.0,1133.0,191.0,3233.0,3447.0,328.0,985.0,334.0,320.0,137.0,34.0,1246.0
11920,11921,17.0,13012.0,1133.0,190.0,3234.0,3449.0,329.0,983.0,335.0,320.0,137.0,33.0,1249.0
11921,11922,20.0,13012.0,1134.0,190.0,3233.0,3449.0,331.0,980.0,336.0,320.0,137.0,33.0,1226.0
